ID,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectIndex,Explanation
SQ11,"True or False: If you're wearing high-visibility clothing, you don't need to use boat lights at dawn or dusk.",FALSE,TRUE,,,1,"False. High-visibility clothing and boat lights serve complementary safety purposes. Michigan law requires lights regardless of clothing during dawn, dusk, and low light conditions for all vessels on the Huron River."
SQ12,Which color combination for high-visibility clothing is most effective for being seen on the water?,Black with reflective strips,Dark blue with yellow accents,"Fluorescent yellow, orange, or green",White or light gray,3,"Fluorescent yellow, orange, or green provide the highest visibility on water, especially in low light conditions, making these the most effective colors for safety."
SQ13,"When checking boat lights before a row, what should you verify?",All of the above,That the lights are visible from appropriate angles and distances,That the lights can be securely mounted,That the batteries are fully charged,1,"Before rowing, verify all aspects of your lighting: battery charge, secure mounting, and visibility from appropriate angles and distances to ensure they'll function properly throughout your row."
SQ14,"During group rows in low light conditions, who is responsible for ensuring all boats have proper lighting and high-visibility clothing?",Only the coach,Each individual rower,Only the club safety officer,The most experienced rower in each boat,2,"While coaches and safety officers provide guidance, each individual rower is ultimately responsible for ensuring they have proper safety equipment, including lights and high-visibility clothing."
SQ15,How does proper lighting affect your legal status on shared waterways like the Huron River?,It's only required for motorized vessels,It's required by Michigan boating laws for all vessels,It's only required for racing shells,It's optional but recommended,2,"Proper lighting is required by Michigan boating laws for all vessels, including rowing shells, during low light conditions, and failure to comply can result in legal penalties as well as safety risks."
SQ16,"If another vessel is approaching on the Huron River and appears not to see you despite your lights and high-visibility clothing, what should you do?",Assume they will eventually notice you,Increase your speed to get out of their way,Turn off your lights momentarily then back on to create a flashing effect,"Take evasive action, move closer to shore if possible, and make noise (whistle, shout) to attract attention",4,"Always assume other boats cannot see you. Move closer to shore if possible, make noise to attract attention, and take early evasive action. On the Huron River, being passive and defensive is the safest approach."
SQ17,"In addition to lights and high-visibility clothing, what other equipment is recommended for rowing on the Huron River in low-light conditions?",A whistle or other sound-making device,All of the above,A fully charged cell phone in a waterproof case,A waterproof flashlight,2,"All items are recommended for low-light rowing: a waterproof flashlight provides backup lighting, a sound-making device allows audible signaling, and a charged phone enables emergency communication."
SQ18,What should you do if fog develops while you're on the Huron River?,"Return to the dock at a reduced pace, staying especially close to the familiar shoreline",Follow another boat that seems to know where it's going,Continue your planned workout but more carefully,Stay where you are and wait for the fog to lift,1,"If fog develops on the Huron River, return to the dock at a reduced pace, staying close to the familiar shoreline. Row cautiously, frequently checking your location, and be prepared to stop if you become disoriented."
SQ19,"True or False: Club-owned boats are pre-equipped with all necessary lighting, so you don't need to check before rowing.",FALSE,TRUE,,,1,"False. Even with club-owned boats, you should always personally verify that all required lights are present, functional, and properly mounted before rowing in conditions that might require lighting."
SQ20,What is the purpose of the 30/30 rule regarding lightning safety?,Keep at least 30 meters from other boats during lightning,Row at 30 strokes per minute for 30 minutes during a storm,"If the time between lightning and thunder is less than 30 seconds, or lightning is seen within 30 minutes of the end of a storm, remain off the water",Wait 30 minutes after eating before rowing to avoid lightning strikes,3,"The 30/30 rule states that if the time between seeing lightning and hearing thunder is less than 30 seconds (indicating the storm is within 6 miles), or if lightning is seen within 30 minutes of the end of a storm, remain off the water."
